subject,fold,planningDepth,featureDropRate,heuristicQuality,elo,ExactAge,FlooredAge,ageBinNr,ageBinValue
A1052:R_787p5urRmH36oyR,3,4.2135436,0.235192,0.570453444,222,25.6466,25,2,21
A1068:R_wRzI7YBAT4B6vrb,3,4.48540626,0.248208,0.62869435,66,22.2493,22,2,21
A1083:R_0OFsszTuxG152et,3,6.113394,0.1484009,0.503461458,207,23.063,23,2,21
A1084:R_2e2JcZRGwBBrLuc,3,5.910164,0.395488,0.535626667,225,20.6082,20,2,21
A1088:R_21tsSKEkouatsIv,3,3.507588,0.363326,0.598180443,4,23.0658,23,2,21
A1098:R_2Ugu89wtmPn7MqW,3,4.026604483,0.27144,0.592802031,62,18.9836,18,2,21
A1099:R_xrAaD53OJwbsqch,3,6.125882,0.302964,0.554984426,164,22.5205,22,2,21
A1107:R_1jJRP7qgTeMGQjK,3,6.146624,0.104434594,0.20526471,-125,24.4247,24,2,21
A1124:R_1FRFvReh5PWJdU4,3,4.110536,0.430158,0.525997391,105,22.7945,22,2,21
A112:R_1DSHShmupLFd4m9,3,7.374548,0.297686,0.551652965,273,19.6904,19,2,21
A1142:R_2q7AVjiFzzHLJze,3,8.766,0.274652,0.486334992,273,22.9918,22,2,21
A1144:R_1GQ4AZBwXaNGfUa,3,4.49156,0.462782,0.495692617,8,21.3041,21,2,21
A1145:R_sMqyJ1BSXGhpH45,3,5.95061288,0.433032,0.555368946,173,19.1151,19,2,21
A1155:R_r1L2X7BOYIy9Nuh,3,1.73532204,0.389718,0.598090894,52,25.4658,25,2,21
A1156:R_3PLx6wbMJkWDIHL,3,5.200332,0.279286,0.589104966,87,22.3479,22,2,21
A1157:R_0GqMhnxN1UuSyZP,3,6.5684718,0.398766,0.573999376,50,24.2438,24,2,21
A115:R_2SIX12SOZtVB5hi,3,4.365972,0.332936,0.498327733,160,21.5425,21,2,21
A1164:R_1BW6aO57CMNB7R2,3,4.622532,0.265154,0.513806949,133,24.1425,24,2,21
A1169:R_279by9quxXs7MJg,3,3.9926552,0.56987,0.513683227,-139,25.6575,25,2,21
A1176:R_1IQUAVGM8CMTUs7,3,8.997236,0.1980992,0.458393687,341,22.1644,22,2,21
A1177:R_1LSZ0fYugR2CutH,3,1.9705942,0.2735206,0.518634049,17,22.0192,22,2,21
A1183:R_1IRSUcwvzKWHeiK,3,6.190008,0.186738,0.521466983,309,24.2877,24,2,21
A1184:R_28HW4qAaDytUum4,3,4.379372,0.338758,0.444387641,149,22.1123,22,2,21
A1186:R_25X9yP84u29qmjb,3,0.984458344,0.3851,0.274678159,-62,22.3479,22,2,21
A1189:R_2Pbwv5ODYaLw4cM,3,6.93635,0.355074,0.456629924,243,19.2849,19,2,21
A1190:R_vuhZhSRa1lAUfNT,3,2.755209898,0.234352,0.584168756,174,22.2219,22,2,21
A1195:R_3RjyrEiTIWDXA2x,3,4.271404,0.482396,0.498155467,136,23.2795,23,2,21
A1198:R_2rnZByl3Wr3snSB,3,9.28523,0.1125471,0.576402655,259,20.0712,20,2,21
A1203:R_3iUSiDuaITYn9xH,3,5.991428,0.630448,0.394537463,206,22.6438,22,2,21
A1218:R_27TjX2Y40PFXng2,3,7.216374,0.390826,0.523685963,94,22.274,22,2,21
A121:R_3j2tErwVrBPXWAH,3,4.974754,0.19787494,0.484239096,127,19.737,19,2,21
A130:R_zUdkqlxVsz3sXcJ,3,7.1454,0.2101008,0.502953686,238,22.0493,22,2,21
A137:R_1BVGDFLE0MAoBT7,3,5.23053928,0.227986,0.558382948,199,24.9726,24,2,21
A139:R_2PASwn39sTwAjf7,3,3.441676,0.3092456,0.561972289,49,25.9014,25,2,21
A157:R_2S7zh1YCdNMj6yh,3,4.48579,0.516284,0.567205291,-11,19.5178,19,2,21
A160:R_2BhfLUXYvGnrPGY,3,4.522536,0.334554,0.485870858,194,18.9534,18,2,21
A162:R_W6S2JhASxlVGYrn,3,7.740046,0.40317,0.603598139,211,22.3315,22,2,21
