subject,gameNumber,category,level,user_color,outcome
A112:R_1DSHShmupLFd4m9,0,2,1,black,1
A112:R_1DSHShmupLFd4m9,1,2,11,white,1
A112:R_1DSHShmupLFd4m9,0,3,14,black,1
A112:R_1DSHShmupLFd4m9,1,3,28,white,1
A112:R_1DSHShmupLFd4m9,2,4,31,black,1
A112:R_1DSHShmupLFd4m9,3,5,42,white,1
A112:R_1DSHShmupLFd4m9,4,6,55,black,1
A112:R_1DSHShmupLFd4m9,5,7,59,white,1
A112:R_1DSHShmupLFd4m9,6,8,79,black,1
A112:R_1DSHShmupLFd4m9,7,9,82,white,1
A112:R_1DSHShmupLFd4m9,8,10,91,black,1
A112:R_1DSHShmupLFd4m9,9,11,104,white,1
A112:R_1DSHShmupLFd4m9,10,12,114,black,1
A112:R_1DSHShmupLFd4m9,11,13,126,white,1
A112:R_1DSHShmupLFd4m9,12,14,129,black,-1
A112:R_1DSHShmupLFd4m9,13,13,129,white,-1
A112:R_1DSHShmupLFd4m9,14,12,112,black,1
A112:R_1DSHShmupLFd4m9,15,12,114,white,1
A112:R_1DSHShmupLFd4m9,16,13,121,black,1
A112:R_1DSHShmupLFd4m9,17,14,130,white,-1
A112:R_1DSHShmupLFd4m9,18,13,126,black,-1
A112:R_1DSHShmupLFd4m9,19,12,116,white,1
A112:R_1DSHShmupLFd4m9,20,12,118,black,1
A112:R_1DSHShmupLFd4m9,21,13,119,white,1
A112:R_1DSHShmupLFd4m9,22,14,135,black,1
A112:R_1DSHShmupLFd4m9,23,15,145,white,-1
A112:R_1DSHShmupLFd4m9,24,14,130,black,1
A112:R_1DSHShmupLFd4m9,25,14,132,white,1
A112:R_1DSHShmupLFd4m9,26,15,144,black,1
A112:R_1DSHShmupLFd4m9,27,16,156,white,-1
A112:R_1DSHShmupLFd4m9,28,15,147,black,1
A112:R_1DSHShmupLFd4m9,29,15,144,white,-1
A112:R_1DSHShmupLFd4m9,30,14,131,black,1
A112:R_1DSHShmupLFd4m9,31,14,136,white,1
A112:R_1DSHShmupLFd4m9,32,15,142,black,1
A112:R_1DSHShmupLFd4m9,33,16,154,white,1
A112:R_1DSHShmupLFd4m9,34,17,159,black,-1
A101:R_Q0Jd5lCBrQu5Dm9,0,2,1,black,1
A101:R_Q0Jd5lCBrQu5Dm9,1,2,17,white,1
A101:R_Q0Jd5lCBrQu5Dm9,0,3,12,black,1
A101:R_Q0Jd5lCBrQu5Dm9,1,3,22,white,1
A101:R_Q0Jd5lCBrQu5Dm9,2,4,34,black,1
A101:R_Q0Jd5lCBrQu5Dm9,3,5,45,white,1
A101:R_Q0Jd5lCBrQu5Dm9,4,6,55,black,1
A101:R_Q0Jd5lCBrQu5Dm9,5,7,66,white,1
A101:R_Q0Jd5lCBrQu5Dm9,6,8,77,black,1
A101:R_Q0Jd5lCBrQu5Dm9,7,9,86,white,1
A101:R_Q0Jd5lCBrQu5Dm9,8,10,89,black,-1
A101:R_Q0Jd5lCBrQu5Dm9,9,9,85,white,1
A101:R_Q0Jd5lCBrQu5Dm9,10,9,85,black,-1
A101:R_Q0Jd5lCBrQu5Dm9,11,8,75,white,1
A101:R_Q0Jd5lCBrQu5Dm9,12,8,78,black,1
A101:R_Q0Jd5lCBrQu5Dm9,13,9,87,white,1
A101:R_Q0Jd5lCBrQu5Dm9,14,10,90,black,1
A101:R_Q0Jd5lCBrQu5Dm9,15,11,109,white,1
A101:R_Q0Jd5lCBrQu5Dm9,16,12,118,black,-1
A101:R_Q0Jd5lCBrQu5Dm9,17,11,103,white,-1
A101:R_Q0Jd5lCBrQu5Dm9,18,10,92,black,1
A101:R_Q0Jd5lCBrQu5Dm9,19,10,89,white,-1
A101:R_Q0Jd5lCBrQu5Dm9,20,9,80,black,1
A101:R_Q0Jd5lCBrQu5Dm9,21,9,88,white,1
A101:R_Q0Jd5lCBrQu5Dm9,22,10,89,black,1
A101:R_Q0Jd5lCBrQu5Dm9,23,11,101,white,-1
A101:R_Q0Jd5lCBrQu5Dm9,24,10,95,black,1
A101:R_Q0Jd5lCBrQu5Dm9,25,10,97,white,1
A101:R_Q0Jd5lCBrQu5Dm9,26,11,104,black,1
A101:R_Q0Jd5lCBrQu5Dm9,27,12,113,white,-1
A101:R_Q0Jd5lCBrQu5Dm9,28,11,107,black,1
A101:R_Q0Jd5lCBrQu5Dm9,29,11,103,white,-1
A101:R_Q0Jd5lCBrQu5Dm9,30,10,96,black,1
A101:R_Q0Jd5lCBrQu5Dm9,31,10,93,white,1
A101:R_Q0Jd5lCBrQu5Dm9,32,11,102,black,1
A101:R_Q0Jd5lCBrQu5Dm9,33,12,119,white,-1
A101:R_Q0Jd5lCBrQu5Dm9,34,11,100,black,1
A121:R_3j2tErwVrBPXWAH,0,2,1,black,1
A121:R_3j2tErwVrBPXWAH,1,2,11,white,1
A121:R_3j2tErwVrBPXWAH,0,3,12,black,1
A121:R_3j2tErwVrBPXWAH,1,3,23,white,1
A121:R_3j2tErwVrBPXWAH,2,4,31,black,1
A121:R_3j2tErwVrBPXWAH,3,5,44,white,1
A121:R_3j2tErwVrBPXWAH,4,6,50,black,1
A121:R_3j2tErwVrBPXWAH,5,7,63,white,1
A121:R_3j2tErwVrBPXWAH,6,8,76,black,1
A121:R_3j2tErwVrBPXWAH,7,9,82,white,-1
A121:R_3j2tErwVrBPXWAH,8,8,77,black,-1
A121:R_3j2tErwVrBPXWAH,9,7,62,white,-1
A121:R_3j2tErwVrBPXWAH,10,6,50,black,1
A121:R_3j2tErwVrBPXWAH,11,6,53,white,1
A121:R_3j2tErwVrBPXWAH,12,7,63,black,1
A121:R_3j2tErwVrBPXWAH,13,8,70,white,1
A121:R_3j2tErwVrBPXWAH,14,9,88,black,-1
A121:R_3j2tErwVrBPXWAH,15,8,77,white,1
A121:R_3j2tErwVrBPXWAH,16,8,72,black,1
A121:R_3j2tErwVrBPXWAH,17,9,86,white,-1
A121:R_3j2tErwVrBPXWAH,18,8,73,black,1
A121:R_3j2tErwVrBPXWAH,19,8,77,white,1
A121:R_3j2tErwVrBPXWAH,20,9,81,black,1
A121:R_3j2tErwVrBPXWAH,21,10,90,white,1
A121:R_3j2tErwVrBPXWAH,22,11,100,black,-1
A121:R_3j2tErwVrBPXWAH,23,10,92,white,1
A121:R_3j2tErwVrBPXWAH,24,10,94,black,1
A121:R_3j2tErwVrBPXWAH,25,11,99,white,1
A121:R_3j2tErwVrBPXWAH,26,12,110,black,1
A121:R_3j2tErwVrBPXWAH,27,13,122,white,1
A121:R_3j2tErwVrBPXWAH,28,14,134,black,1
A121:R_3j2tErwVrBPXWAH,29,15,146,white,1
A121:R_3j2tErwVrBPXWAH,30,16,153,black,1
A121:R_3j2tErwVrBPXWAH,31,17,168,white,-1
A121:R_3j2tErwVrBPXWAH,32,16,149,black,1
A121:R_3j2tErwVrBPXWAH,33,16,158,white,-1
A121:R_3j2tErwVrBPXWAH,34,15,139,black,-1
A1083:R_0OFsszTuxG152et,0,2,1,black,1
A1083:R_0OFsszTuxG152et,1,2,16,white,1
A1083:R_0OFsszTuxG152et,0,3,14,black,1
A1083:R_0OFsszTuxG152et,1,3,27,white,1
A1083:R_0OFsszTuxG152et,2,4,34,black,1
A1083:R_0OFsszTuxG152et,3,5,43,white,1
A1083:R_0OFsszTuxG152et,4,6,57,black,1
A1083:R_0OFsszTuxG152et,5,7,65,white,1
A1083:R_0OFsszTuxG152et,6,8,75,black,1
A1083:R_0OFsszTuxG152et,7,9,84,white,1
A1083:R_0OFsszTuxG152et,8,10,97,black,1
A1083:R_0OFsszTuxG152et,9,11,108,white,1
A1083:R_0OFsszTuxG152et,10,12,114,black,0
A1083:R_0OFsszTuxG152et,11,12,119,white,1
A1083:R_0OFsszTuxG152et,12,12,118,black,1
A1083:R_0OFsszTuxG152et,13,13,123,white,-1
A1083:R_0OFsszTuxG152et,14,12,118,black,1
A1083:R_0OFsszTuxG152et,15,12,117,white,-1
A1083:R_0OFsszTuxG152et,16,11,99,black,1
A1083:R_0OFsszTuxG152et,17,11,101,white,-1
A1083:R_0OFsszTuxG152et,18,10,89,black,1
A1083:R_0OFsszTuxG152et,19,10,99,white,1
A1083:R_0OFsszTuxG152et,20,11,106,black,1
A1083:R_0OFsszTuxG152et,21,12,110,white,1
A1083:R_0OFsszTuxG152et,22,13,126,black,1
A1083:R_0OFsszTuxG152et,23,14,129,white,-1
A1083:R_0OFsszTuxG152et,24,13,119,black,1
A1083:R_0OFsszTuxG152et,25,13,127,white,-1
A1083:R_0OFsszTuxG152et,26,12,112,black,1
A1083:R_0OFsszTuxG152et,27,12,113,white,1
A1083:R_0OFsszTuxG152et,28,13,128,black,1
A1083:R_0OFsszTuxG152et,29,14,138,white,1
A1083:R_0OFsszTuxG152et,30,15,146,black,-1
A1083:R_0OFsszTuxG152et,31,14,129,white,-1
A1083:R_0OFsszTuxG152et,32,13,122,black,-1
A1083:R_0OFsszTuxG152et,33,12,118,white,1
A1083:R_0OFsszTuxG152et,34,12,110,black,1
A103:R_3lJsCIPqfpqRhkf,0,2,1,black,1
A103:R_3lJsCIPqfpqRhkf,1,2,14,white,1
A103:R_3lJsCIPqfpqRhkf,0,3,12,black,1
A103:R_3lJsCIPqfpqRhkf,1,3,28,white,0
A103:R_3lJsCIPqfpqRhkf,2,3,28,black,1
A103:R_3lJsCIPqfpqRhkf,3,3,20,white,1
A103:R_3lJsCIPqfpqRhkf,4,4,35,black,1
A103:R_3lJsCIPqfpqRhkf,5,5,43,white,1
A103:R_3lJsCIPqfpqRhkf,6,6,55,black,1
A103:R_3lJsCIPqfpqRhkf,7,7,64,white,1
A103:R_3lJsCIPqfpqRhkf,8,8,74,black,1
A103:R_3lJsCIPqfpqRhkf,9,9,86,white,1
A103:R_3lJsCIPqfpqRhkf,10,10,92,black,1
A103:R_3lJsCIPqfpqRhkf,11,11,104,white,1
A103:R_3lJsCIPqfpqRhkf,12,12,112,black,-1
A103:R_3lJsCIPqfpqRhkf,13,11,102,white,-1
A103:R_3lJsCIPqfpqRhkf,14,10,99,black,1
A103:R_3lJsCIPqfpqRhkf,15,10,93,white,1
A103:R_3lJsCIPqfpqRhkf,16,11,109,black,1
A103:R_3lJsCIPqfpqRhkf,17,12,118,white,1
A103:R_3lJsCIPqfpqRhkf,18,13,125,black,1
A103:R_3lJsCIPqfpqRhkf,19,14,131,white,-1
A103:R_3lJsCIPqfpqRhkf,20,13,121,black,-1
A103:R_3lJsCIPqfpqRhkf,21,12,115,white,1
A103:R_3lJsCIPqfpqRhkf,22,12,118,black,1
A103:R_3lJsCIPqfpqRhkf,23,13,128,white,-1
A103:R_3lJsCIPqfpqRhkf,24,12,111,black,-1
A103:R_3lJsCIPqfpqRhkf,25,11,105,white,1
A103:R_3lJsCIPqfpqRhkf,26,11,104,black,1
A103:R_3lJsCIPqfpqRhkf,27,12,113,white,-1
A103:R_3lJsCIPqfpqRhkf,28,11,99,black,1
A103:R_3lJsCIPqfpqRhkf,29,11,102,white,1
A103:R_3lJsCIPqfpqRhkf,30,12,110,black,-1
A103:R_3lJsCIPqfpqRhkf,31,11,99,white,-1
A103:R_3lJsCIPqfpqRhkf,32,10,91,black,1
A103:R_3lJsCIPqfpqRhkf,33,10,96,white,1
A103:R_3lJsCIPqfpqRhkf,34,11,104,black,1
A130:R_zUdkqlxVsz3sXcJ,0,2,1,black,1
A130:R_zUdkqlxVsz3sXcJ,1,2,16,white,1
A130:R_zUdkqlxVsz3sXcJ,0,3,16,black,1
A130:R_zUdkqlxVsz3sXcJ,1,3,29,white,1
A130:R_zUdkqlxVsz3sXcJ,2,4,29,black,1
A130:R_zUdkqlxVsz3sXcJ,3,5,47,white,1
A130:R_zUdkqlxVsz3sXcJ,4,6,52,black,1
A130:R_zUdkqlxVsz3sXcJ,5,7,69,white,1
A130:R_zUdkqlxVsz3sXcJ,6,8,72,black,1
A130:R_zUdkqlxVsz3sXcJ,7,9,83,white,1
A130:R_zUdkqlxVsz3sXcJ,8,10,95,black,1
A130:R_zUdkqlxVsz3sXcJ,9,11,107,white,-1
A130:R_zUdkqlxVsz3sXcJ,10,10,95,black,1
A130:R_zUdkqlxVsz3sXcJ,11,10,99,white,1
A130:R_zUdkqlxVsz3sXcJ,12,11,102,black,1
A130:R_zUdkqlxVsz3sXcJ,13,12,114,white,1
A130:R_zUdkqlxVsz3sXcJ,14,13,126,black,1
A130:R_zUdkqlxVsz3sXcJ,15,14,137,white,1
A130:R_zUdkqlxVsz3sXcJ,16,15,145,black,1
A130:R_zUdkqlxVsz3sXcJ,17,16,155,white,-1
A130:R_zUdkqlxVsz3sXcJ,18,15,147,black,-1
A130:R_zUdkqlxVsz3sXcJ,19,14,136,white,-1
A130:R_zUdkqlxVsz3sXcJ,20,13,121,black,1
A130:R_zUdkqlxVsz3sXcJ,21,13,124,white,1
A130:R_zUdkqlxVsz3sXcJ,22,14,137,black,-1
A130:R_zUdkqlxVsz3sXcJ,23,13,121,white,1
A130:R_zUdkqlxVsz3sXcJ,24,13,121,black,1
A130:R_zUdkqlxVsz3sXcJ,25,14,134,white,1
A130:R_zUdkqlxVsz3sXcJ,26,15,140,black,1
A130:R_zUdkqlxVsz3sXcJ,27,16,156,white,-1
A130:R_zUdkqlxVsz3sXcJ,28,15,142,black,1
A130:R_zUdkqlxVsz3sXcJ,29,15,142,white,-1
A130:R_zUdkqlxVsz3sXcJ,30,14,130,black,1
A130:R_zUdkqlxVsz3sXcJ,31,14,138,white,-1
A130:R_zUdkqlxVsz3sXcJ,32,13,122,black,1
A130:R_zUdkqlxVsz3sXcJ,33,13,126,white,-1
A130:R_zUdkqlxVsz3sXcJ,34,12,109,black,1
101:R_31SM3mwQvAhBwar,0,2,1,black,1
101:R_31SM3mwQvAhBwar,1,2,17,white,1
101:R_31SM3mwQvAhBwar,0,3,17,black,1
101:R_31SM3mwQvAhBwar,1,3,26,white,0
101:R_31SM3mwQvAhBwar,2,3,28,black,1
101:R_31SM3mwQvAhBwar,3,3,22,white,1
101:R_31SM3mwQvAhBwar,4,4,38,black,1
101:R_31SM3mwQvAhBwar,5,5,42,white,1
101:R_31SM3mwQvAhBwar,6,6,56,black,1
101:R_31SM3mwQvAhBwar,7,7,68,white,1
101:R_31SM3mwQvAhBwar,8,8,71,black,1
101:R_31SM3mwQvAhBwar,9,9,83,white,1
101:R_31SM3mwQvAhBwar,10,10,96,black,1
101:R_31SM3mwQvAhBwar,11,11,102,white,0
101:R_31SM3mwQvAhBwar,12,11,102,black,-1
101:R_31SM3mwQvAhBwar,13,10,93,white,1
101:R_31SM3mwQvAhBwar,14,10,96,black,1
101:R_31SM3mwQvAhBwar,15,11,101,white,1
101:R_31SM3mwQvAhBwar,16,12,116,black,0
101:R_31SM3mwQvAhBwar,17,12,111,white,1
101:R_31SM3mwQvAhBwar,18,12,110,black,1
101:R_31SM3mwQvAhBwar,19,13,127,white,1
101:R_31SM3mwQvAhBwar,20,14,132,black,-1
101:R_31SM3mwQvAhBwar,21,13,125,white,-1
101:R_31SM3mwQvAhBwar,22,12,114,black,1
101:R_31SM3mwQvAhBwar,23,12,118,white,1
101:R_31SM3mwQvAhBwar,24,13,124,black,1
101:R_31SM3mwQvAhBwar,25,14,137,white,1
101:R_31SM3mwQvAhBwar,26,15,143,black,1
101:R_31SM3mwQvAhBwar,27,16,151,white,1
101:R_31SM3mwQvAhBwar,28,17,161,black,1
101:R_31SM3mwQvAhBwar,29,18,177,white,-1
101:R_31SM3mwQvAhBwar,30,17,162,black,1
101:R_31SM3mwQvAhBwar,31,17,167,white,-1
101:R_31SM3mwQvAhBwar,32,16,154,black,0
101:R_31SM3mwQvAhBwar,33,16,155,white,-1
101:R_31SM3mwQvAhBwar,34,15,140,black,1
102:R_vdABJ1XvXNriwff,0,2,1,black,1
102:R_vdABJ1XvXNriwff,1,2,12,white,1
102:R_vdABJ1XvXNriwff,0,3,18,black,1
102:R_vdABJ1XvXNriwff,1,3,27,white,1
102:R_vdABJ1XvXNriwff,2,4,30,black,1
102:R_vdABJ1XvXNriwff,3,5,47,white,1
102:R_vdABJ1XvXNriwff,4,6,54,black,1
102:R_vdABJ1XvXNriwff,5,7,64,white,1
102:R_vdABJ1XvXNriwff,6,8,76,black,1
102:R_vdABJ1XvXNriwff,7,9,83,white,1
102:R_vdABJ1XvXNriwff,8,10,98,black,1
102:R_vdABJ1XvXNriwff,9,11,108,white,-1
102:R_vdABJ1XvXNriwff,10,10,98,black,-1
102:R_vdABJ1XvXNriwff,11,9,83,white,0
102:R_vdABJ1XvXNriwff,12,9,88,black,-1
102:R_vdABJ1XvXNriwff,13,8,76,white,1
102:R_vdABJ1XvXNriwff,14,8,78,black,1
102:R_vdABJ1XvXNriwff,15,9,85,white,1
102:R_vdABJ1XvXNriwff,16,10,93,black,1
102:R_vdABJ1XvXNriwff,17,11,101,white,-1
102:R_vdABJ1XvXNriwff,18,10,89,black,1
102:R_vdABJ1XvXNriwff,19,10,92,white,1
102:R_vdABJ1XvXNriwff,20,11,105,black,1
102:R_vdABJ1XvXNriwff,21,12,109,white,1
102:R_vdABJ1XvXNriwff,22,13,124,black,1
102:R_vdABJ1XvXNriwff,23,14,133,white,-1
102:R_vdABJ1XvXNriwff,24,13,128,black,1
102:R_vdABJ1XvXNriwff,25,13,128,white,1
102:R_vdABJ1XvXNriwff,26,14,134,black,1
102:R_vdABJ1XvXNriwff,27,15,140,white,1
102:R_vdABJ1XvXNriwff,28,16,157,black,-1
102:R_vdABJ1XvXNriwff,29,15,141,white,1
102:R_vdABJ1XvXNriwff,30,15,147,black,1
102:R_vdABJ1XvXNriwff,31,16,158,white,-1
102:R_vdABJ1XvXNriwff,32,15,145,black,1
102:R_vdABJ1XvXNriwff,33,15,147,white,-1
102:R_vdABJ1XvXNriwff,34,14,136,black,0
107:R_2ahKzS67s2u094R,0,2,1,black,1
107:R_2ahKzS67s2u094R,1,2,15,white,1
107:R_2ahKzS67s2u094R,0,3,13,black,1
107:R_2ahKzS67s2u094R,1,3,19,white,1
107:R_2ahKzS67s2u094R,2,4,34,black,1
107:R_2ahKzS67s2u094R,3,5,42,white,1
107:R_2ahKzS67s2u094R,4,6,55,black,-1
107:R_2ahKzS67s2u094R,5,5,41,white,1
107:R_2ahKzS67s2u094R,6,5,46,black,1
107:R_2ahKzS67s2u094R,7,6,58,white,1
107:R_2ahKzS67s2u094R,8,7,67,black,1
107:R_2ahKzS67s2u094R,9,8,74,white,1
107:R_2ahKzS67s2u094R,10,9,87,black,1
107:R_2ahKzS67s2u094R,11,10,91,white,1
107:R_2ahKzS67s2u094R,12,11,104,black,1
107:R_2ahKzS67s2u094R,13,12,109,white,1
107:R_2ahKzS67s2u094R,14,13,126,black,1
107:R_2ahKzS67s2u094R,15,14,136,white,1
107:R_2ahKzS67s2u094R,16,15,146,black,1
107:R_2ahKzS67s2u094R,17,16,156,white,-1
107:R_2ahKzS67s2u094R,18,15,145,black,1
107:R_2ahKzS67s2u094R,19,15,148,white,1
107:R_2ahKzS67s2u094R,20,16,150,black,1
107:R_2ahKzS67s2u094R,21,17,168,white,-1
107:R_2ahKzS67s2u094R,22,16,152,black,1
107:R_2ahKzS67s2u094R,23,16,151,white,-1
107:R_2ahKzS67s2u094R,24,15,145,black,-1
107:R_2ahKzS67s2u094R,25,14,130,white,-1
107:R_2ahKzS67s2u094R,26,13,122,black,-1
107:R_2ahKzS67s2u094R,27,12,118,white,1
107:R_2ahKzS67s2u094R,28,12,115,black,-1
107:R_2ahKzS67s2u094R,29,11,106,white,-1
107:R_2ahKzS67s2u094R,30,10,90,black,1
107:R_2ahKzS67s2u094R,31,10,93,white,1
107:R_2ahKzS67s2u094R,32,11,100,black,1
107:R_2ahKzS67s2u094R,33,12,109,white,1
107:R_2ahKzS67s2u094R,34,13,122,black,-1
117:R_2XpQzVOPaMJjkCo,0,2,1,black,1
117:R_2XpQzVOPaMJjkCo,1,2,19,white,1
117:R_2XpQzVOPaMJjkCo,0,3,17,black,-1
117:R_2XpQzVOPaMJjkCo,1,1,6,white,1
117:R_2XpQzVOPaMJjkCo,2,1,7,black,1
117:R_2XpQzVOPaMJjkCo,3,2,17,white,1
117:R_2XpQzVOPaMJjkCo,4,3,26,black,1
117:R_2XpQzVOPaMJjkCo,5,4,38,white,1
117:R_2XpQzVOPaMJjkCo,6,5,40,black,1
117:R_2XpQzVOPaMJjkCo,7,6,52,white,1
117:R_2XpQzVOPaMJjkCo,8,7,68,black,1
117:R_2XpQzVOPaMJjkCo,9,8,70,white,1
117:R_2XpQzVOPaMJjkCo,10,9,82,black,1
117:R_2XpQzVOPaMJjkCo,11,10,91,white,1
117:R_2XpQzVOPaMJjkCo,12,11,106,black,1
117:R_2XpQzVOPaMJjkCo,13,12,113,white,-1
117:R_2XpQzVOPaMJjkCo,14,11,107,black,1
117:R_2XpQzVOPaMJjkCo,15,11,108,white,-1
117:R_2XpQzVOPaMJjkCo,16,10,95,black,-1
117:R_2XpQzVOPaMJjkCo,17,9,79,white,1
117:R_2XpQzVOPaMJjkCo,18,9,84,black,1
117:R_2XpQzVOPaMJjkCo,19,10,97,white,-1
117:R_2XpQzVOPaMJjkCo,20,9,86,black,1
117:R_2XpQzVOPaMJjkCo,21,9,85,white,1
117:R_2XpQzVOPaMJjkCo,22,10,99,black,1
117:R_2XpQzVOPaMJjkCo,23,11,100,white,-1
117:R_2XpQzVOPaMJjkCo,24,10,96,black,1
117:R_2XpQzVOPaMJjkCo,25,10,91,white,1
117:R_2XpQzVOPaMJjkCo,26,11,103,black,1
117:R_2XpQzVOPaMJjkCo,27,12,118,white,-1
117:R_2XpQzVOPaMJjkCo,28,11,104,black,1
117:R_2XpQzVOPaMJjkCo,29,11,106,white,-1
117:R_2XpQzVOPaMJjkCo,30,10,92,black,1
117:R_2XpQzVOPaMJjkCo,31,10,92,white,1
117:R_2XpQzVOPaMJjkCo,32,11,100,black,1
117:R_2XpQzVOPaMJjkCo,33,12,116,white,-1
117:R_2XpQzVOPaMJjkCo,34,11,106,black,1
121:R_2zoxitKzRuYUblm,0,2,1,black,1
121:R_2zoxitKzRuYUblm,1,2,14,white,1
121:R_2zoxitKzRuYUblm,0,3,18,black,1
121:R_2zoxitKzRuYUblm,1,3,25,white,1
121:R_2zoxitKzRuYUblm,2,4,32,black,1
121:R_2zoxitKzRuYUblm,3,5,48,white,-1
121:R_2zoxitKzRuYUblm,4,4,38,black,1
121:R_2zoxitKzRuYUblm,5,4,34,white,-1
121:R_2zoxitKzRuYUblm,6,3,24,black,1
121:R_2zoxitKzRuYUblm,7,3,23,white,-1
121:R_2zoxitKzRuYUblm,8,2,19,black,1
121:R_2zoxitKzRuYUblm,9,2,14,white,1
121:R_2zoxitKzRuYUblm,10,3,23,black,1
121:R_2zoxitKzRuYUblm,11,4,32,white,1
121:R_2zoxitKzRuYUblm,12,5,41,black,1
121:R_2zoxitKzRuYUblm,13,6,56,white,1
121:R_2zoxitKzRuYUblm,14,7,65,black,1
121:R_2zoxitKzRuYUblm,15,8,74,white,-1
121:R_2zoxitKzRuYUblm,16,7,63,black,1
121:R_2zoxitKzRuYUblm,17,7,68,white,1
121:R_2zoxitKzRuYUblm,18,8,75,black,-1
121:R_2zoxitKzRuYUblm,19,7,62,white,1
121:R_2zoxitKzRuYUblm,20,7,64,black,1
121:R_2zoxitKzRuYUblm,21,8,79,white,-1
121:R_2zoxitKzRuYUblm,22,7,65,black,-1
121:R_2zoxitKzRuYUblm,23,6,59,white,1
121:R_2zoxitKzRuYUblm,24,6,57,black,1
121:R_2zoxitKzRuYUblm,25,7,69,white,1
121:R_2zoxitKzRuYUblm,26,8,72,black,1
121:R_2zoxitKzRuYUblm,27,9,84,white,1
121:R_2zoxitKzRuYUblm,28,10,94,black,-1
121:R_2zoxitKzRuYUblm,29,9,84,white,-1
121:R_2zoxitKzRuYUblm,30,8,74,black,1
121:R_2zoxitKzRuYUblm,31,8,70,white,1
121:R_2zoxitKzRuYUblm,32,9,80,black,1
121:R_2zoxitKzRuYUblm,33,10,93,white,1
121:R_2zoxitKzRuYUblm,34,11,108,black,1
129:R_2q8z9DfvMUHDZio,0,2,1,black,1
129:R_2q8z9DfvMUHDZio,1,2,12,white,1
129:R_2q8z9DfvMUHDZio,0,3,13,black,1
129:R_2q8z9DfvMUHDZio,1,3,27,white,1
129:R_2q8z9DfvMUHDZio,2,4,36,black,1
129:R_2q8z9DfvMUHDZio,3,5,47,white,1
129:R_2q8z9DfvMUHDZio,4,6,54,black,1
129:R_2q8z9DfvMUHDZio,5,7,60,white,1
129:R_2q8z9DfvMUHDZio,6,8,75,black,1
129:R_2q8z9DfvMUHDZio,7,9,82,white,-1
129:R_2q8z9DfvMUHDZio,8,8,78,black,1
129:R_2q8z9DfvMUHDZio,9,8,73,white,1
129:R_2q8z9DfvMUHDZio,10,9,86,black,1
129:R_2q8z9DfvMUHDZio,11,10,96,white,1
129:R_2q8z9DfvMUHDZio,12,11,102,black,1
129:R_2q8z9DfvMUHDZio,13,12,115,white,-1
129:R_2q8z9DfvMUHDZio,14,11,102,black,1
129:R_2q8z9DfvMUHDZio,15,11,106,white,1
129:R_2q8z9DfvMUHDZio,16,12,113,black,1
129:R_2q8z9DfvMUHDZio,17,13,122,white,-1
129:R_2q8z9DfvMUHDZio,18,12,111,black,1
129:R_2q8z9DfvMUHDZio,19,12,110,white,-1
129:R_2q8z9DfvMUHDZio,20,11,100,black,1
129:R_2q8z9DfvMUHDZio,21,11,106,white,1
129:R_2q8z9DfvMUHDZio,22,12,113,black,1
129:R_2q8z9DfvMUHDZio,23,13,119,white,1
129:R_2q8z9DfvMUHDZio,24,14,133,black,-1
129:R_2q8z9DfvMUHDZio,25,13,126,white,-1
129:R_2q8z9DfvMUHDZio,26,12,113,black,-1
129:R_2q8z9DfvMUHDZio,27,11,105,white,-1
129:R_2q8z9DfvMUHDZio,28,10,95,black,1
129:R_2q8z9DfvMUHDZio,29,10,97,white,1
129:R_2q8z9DfvMUHDZio,30,11,104,black,1
129:R_2q8z9DfvMUHDZio,31,12,114,white,1
129:R_2q8z9DfvMUHDZio,32,13,120,black,-1
129:R_2q8z9DfvMUHDZio,33,12,115,white,-1
129:R_2q8z9DfvMUHDZio,34,11,105,black,1
139:R_1F5MGuZ2rKZOLnc,0,2,1,black,1
139:R_1F5MGuZ2rKZOLnc,1,2,13,white,1
139:R_1F5MGuZ2rKZOLnc,0,3,15,black,1
139:R_1F5MGuZ2rKZOLnc,1,3,23,white,-1
139:R_1F5MGuZ2rKZOLnc,2,2,16,black,1
139:R_1F5MGuZ2rKZOLnc,3,2,10,white,1
139:R_1F5MGuZ2rKZOLnc,4,3,24,black,-1
139:R_1F5MGuZ2rKZOLnc,5,2,16,white,1
139:R_1F5MGuZ2rKZOLnc,6,2,11,black,1
139:R_1F5MGuZ2rKZOLnc,7,3,27,white,-1
139:R_1F5MGuZ2rKZOLnc,8,2,13,black,1
139:R_1F5MGuZ2rKZOLnc,9,2,13,white,1
139:R_1F5MGuZ2rKZOLnc,10,3,25,black,1
139:R_1F5MGuZ2rKZOLnc,11,4,34,white,-1
139:R_1F5MGuZ2rKZOLnc,12,3,22,black,1
139:R_1F5MGuZ2rKZOLnc,13,3,21,white,1
139:R_1F5MGuZ2rKZOLnc,14,4,35,black,-1
139:R_1F5MGuZ2rKZOLnc,15,3,22,white,-1
139:R_1F5MGuZ2rKZOLnc,16,2,15,black,1
139:R_1F5MGuZ2rKZOLnc,17,2,10,white,0
139:R_1F5MGuZ2rKZOLnc,18,2,15,black,0
139:R_1F5MGuZ2rKZOLnc,19,2,17,white,-1
139:R_1F5MGuZ2rKZOLnc,20,1,6,black,1
139:R_1F5MGuZ2rKZOLnc,21,1,9,white,1
